"ISSN_1","ISSN_2","Title"
1619‐4500,1614‐2411,"4OR"
1932‐2232,1932‐2240,"ACM COMMUNICATIONS IN COMPUTER ALGEBRA"
0360‐0300,1557‐7341,"ACM COMPUTING SURVEYS"
2153‐2184,2153‐2192,"ACM INROADS"
1550‐4832,1550‐4840,"ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS"
1936‐7228,,"         ACM TRANSACTIONS ON ACCESSIBLE COMPUTING"
1549‐6325,1549‐6333,"ACM TRANSACTIONS ON ALGORITHMS"
1544‐3558,1544‐3965,"ACM TRANSACTIONS ON APPLIED PERCEPTION"
2375‐4699,2375‐4702,"ACM TRANSACTIONS ON ASIAN AND LOW‐RESOURCE LANGUAGE INFORMATION PROCESSING"
1556‐4665,1556‐4703,"ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS"
1942‐3454,1942‐3462,"ACM TRANSACTIONS ON COMPUTATION THEORY"
1529‐3785,1557‐945X,"ACM TRANSACTIONS ON COMPUTATIONAL LOGIC"
0734‐2071,1557‐7333,"ACM TRANSACTIONS ON COMPUTER SYSTEMS"
1073‐0516,1557‐7325,"ACM TRANSACTIONS ON COMPUTER‐HUMAN INTERACTION"
1946‐6226,,"         ACM TRANSACTIONS ON COMPUTING EDUCATION"
2691‐1957,2637‐8051,"ACM TRANSACTIONS ON COMPUTING FOR HEALTHCARE"
2378‐962X,2378‐9638,"ACM TRANSACTIONS ON CYBER‐PHYSICAL SYSTEMS"
0362‐5915,1557‐4644,"ACM TRANSACTIONS ON DATABASE SYSTEMS"
1084‐4309,1557‐7309,"ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS"
2167‐8375,2167‐8383,"ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION"
2688‐299X,2688‐3007,"ACM TRANSACTION ON EVOLUTIONARY LEARNING AND OPTIMIZATION"
0730‐0301,1557‐7368,"ACM TRANSACTIONS ON GRAPHICS"
2573‐9522,,"         ACM TRANSACTIONS ON HUMAN‐ROBOT INTERACTION"
1046‐8188,1558‐2868,"ACM TRANSACTIONS ON INFORMATION SYSTEMS"
2157‐6904,2157‐6912,"ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY"
2160‐6455,2160‐6463,"ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS"
2577‐6207,,"         ACM TRANSACTIONS ON INTERNET OF THINGS"
1533‐5399,1557‐6051,"ACM TRANSACTIONS ON INTERNET TECHNOLOGY"
1556‐4681,,"         ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA"
2158‐656X,2158‐6578,"ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS"
0098‐3500,1557‐7295,"ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE"
1049‐3301,1558‐1195,"ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION"
